Encoder Position: -165812  Error: 170812  Integral Component: 572799  Control Voltage: 17081.2
Encoder Position: -165812  Error: 170812  Integral Component: 574508  Control Voltage: 17081.2
Encoder Position: -165675  Error: 170675  Integral Component: 576214  Control Voltage: 17067.5
Encoder Position: -165539  Error: 170539  Integral Component: 577920  Control Voltage: 17053.9
Encoder Position: -165539  Error: 170539  Integral Component: 579625  Control Voltage: 17053.9
Encoder Position: -165402  Error: 170402  Integral Component: 581329  Control Voltage: 17040.2
Encoder Position: -165402  Error: 170402  Integral Component: 583033  Control Voltage: 17040.2
Encoder Position: -165266  Error: 170266  Integral Component: 584736  Control Voltage: 17026.6
Encoder Position: -165129  Error: 170129  Integral Component: 586437  Control Voltage: 17012.9
Encoder Position: -165129  Error: 170129  Integral Component: 588138  Control Voltage: 17012.9
Encoder Position: -164992  Error: 169992  Integral Component: 589838  Control Voltage: 16999.2
Encoder Position: -164992  Error: 169992  Integral Component: 591538  Control Voltage: 16999.2
Encoder Position: -164856  Error: 169856  Integral Component: 593237  Control Voltage: 16985.6
Encoder Position: -164719  Error: 169719  Integral Component: 594934  Control Voltage: 16971.9
Encoder Position: -164719  Error: 169719  Integral Component: 596631  Control Voltage: 16971.9
Encoder Position: -164583  Error: 169583  Integral Component: 598327  Control Voltage: 16958.3
Encoder Position: -164446  Error: 169446  Integral Component: 600021  Control Voltage: 16944.6
Encoder Position: -164446  Error: 169446  Integral Component: 601716  Control Voltage: 16944.6
Encoder Position: -164309  Error: 169309  Integral Component: 603409  Control Voltage: 16930.9
Encoder Position: -164172  Error: 169309  Integral Component: 605102  Control Voltage: 16930.9
Encoder Position: -164172  Error: 169172  Integral Component: 606794  Control Voltage: 16917.2
Encoder Position: -164036  Error: 169036  Integral Component: 608484  Control Voltage: 16903.6
Encoder Position: -164036  Error: 169036  Integral Component: 610175  Control Voltage: 16903.6
Encoder Position: -163899  Error: 168899  Integral Component: 611864  Control Voltage: 16889.9
Encoder Position: -163762  Error: 168762  Integral Component: 613551  Control Voltage: 16876.2
Encoder Position: -163762  Error: 168762  Integral Component: 615239  Control Voltage: 16876.2
Encoder Position: -163625  Error: 168625  Integral Component: 616925  Control Voltage: 16862.5
Encoder Position: -163488  Error: 168488  Integral Component: 618610  Control Voltage: 16848.8
